Breed,Type_of_disorder,Disease,Predisposition_to_disease,Size,Group_UK,Group_AKC,Alternative_breed_names
afghan hound,inherited eye disorders,cataract,have an increased incidence,large,hound,hound,"afghan hound, tazi, tazhi spay, kochyano spay, sage, balochi, ogar afgan, barakzai hound, eastern, greyhound/persian, greyhound, afghan hound, greyhound"
afghan hound,inherited eye disorders,corneal dystrophy,have an increased incidence,large,hound,hound,"afghan hound, tazi, tazhi spay, kochyano spay, sage, balochi, ogar afgan, barakzai hound, eastern, greyhound/persian, greyhound, afghan hound, greyhound"
afghan hound,inherited skin disorders,demodicosis,have an increased incidence,large,hound,hound,"afghan hound, tazi, tazhi spay, kochyano spay, sage, balochi, ogar afgan, barakzai hound, eastern, greyhound/persian, greyhound, afghan hound, greyhound"
afghan hound,inherited eye disorders,glaucoma,may be inherited,large,hound,hound,"afghan hound, tazi, tazhi spay, kochyano spay, sage, balochi, ogar afgan, barakzai hound, eastern, greyhound/persian, greyhound, afghan hound, greyhound"
afghan hound,inherited musculoskeletal disorders,hip dysplasia,have an increased incidence,large,hound,hound,"afghan hound, tazi, tazhi spay, kochyano spay, sage, balochi, ogar afgan, barakzai hound, eastern, greyhound/persian, greyhound, afghan hound, greyhound"
afghan hound,inherited endocrine disorders,hypothyroidism,have an increased incidence,large,hound,hound,"afghan hound, tazi, tazhi spay, kochyano spay, sage, balochi, ogar afgan, barakzai hound, eastern, greyhound/persian, greyhound, afghan hound, greyhound"
afghan hound,inherited eye disorders,progressive retinal atrophy (rod-cone dysplasia),may be inherited,large,hound,hound,"afghan hound, tazi, tazhi spay, kochyano spay, sage, balochi, ogar afgan, barakzai hound, eastern, greyhound/persian, greyhound, afghan hound, greyhound"
afghan hound,inherited eye disorders,retinal dysplasia,may be inherited,large,hound,hound,"afghan hound, tazi, tazhi spay, kochyano spay, sage, balochi, ogar afgan, barakzai hound, eastern, greyhound/persian, greyhound, afghan hound, greyhound"
afghan hound,none,anesthetic idiosyncracy,none,large,hound,hound,"afghan hound, tazi, tazhi spay, kochyano spay, sage, balochi, ogar afgan, barakzai hound, eastern, greyhound/persian, greyhound, afghan hound, greyhound"
afghan hound,inherited musculoskeletal disorders,elbow dysplasia,none,large,hound,hound,"afghan hound, tazi, tazhi spay, kochyano spay, sage, balochi, ogar afgan, barakzai hound, eastern, greyhound/persian, greyhound, afghan hound, greyhound"
afghan hound,none,eversion of nictitating membrane,none,large,hound,hound,"afghan hound, tazi, tazhi spay, kochyano spay, sage, balochi, ogar afgan, barakzai hound, eastern, greyhound/persian, greyhound, afghan hound, greyhound"
afghan hound,inherited musculoskeletal disorders,hemivertebra,none,large,hound,hound,"afghan hound, tazi, tazhi spay, kochyano spay, sage, balochi, ogar afgan, barakzai hound, eastern, greyhound/persian, greyhound, afghan hound, greyhound"
afghan hound,inherited blood disorders,hemophilia a,none,large,hound,hound,"afghan hound, tazi, tazhi spay, kochyano spay, sage, balochi, ogar afgan, barakzai hound, eastern, greyhound/persian, greyhound, afghan hound, greyhound"
afghan hound,none,narcolepsy,none,large,hound,hound,"afghan hound, tazi, tazhi spay, kochyano spay, sage, balochi, ogar afgan, barakzai hound, eastern, greyhound/persian, greyhound, afghan hound, greyhound"
afghan hound,none,necrotizing myelopathy,none,large,hound,hound,"afghan hound, tazi, tazhi spay, kochyano spay, sage, balochi, ogar afgan, barakzai hound, eastern, greyhound/persian, greyhound, afghan hound, greyhound"
afghan hound,none,osteochondritis dissecans,none,large,hound,hound,"afghan hound, tazi, tazhi spay, kochyano spay, sage, balochi, ogar afgan, barakzai hound, eastern, greyhound/persian, greyhound, afghan hound, greyhound"
afghan hound,none,osteochondrosis,none,large,hound,hound,"afghan hound, tazi, tazhi spay, kochyano spay, sage, balochi, ogar afgan, barakzai hound, eastern, greyhound/persian, greyhound, afghan hound, greyhound"
afghan hound,inherited skin disorders,pemphigus foliaceous,none,large,hound,hound,"afghan hound, tazi, tazhi spay, kochyano spay, sage, balochi, ogar afgan, barakzai hound, eastern, greyhound/persian, greyhound, afghan hound, greyhound"
afghan hound,inherited eye disorders,persistent pupillary membrane,none,large,hound,hound,"afghan hound, tazi, tazhi spay, kochyano spay, sage, balochi, ogar afgan, barakzai hound, eastern, greyhound/persian, greyhound, afghan hound, greyhound"
afghan hound,none,retinal detachment,none,large,hound,hound,"afghan hound, tazi, tazhi spay, kochyano spay, sage, balochi, ogar afgan, barakzai hound, eastern, greyhound/persian, greyhound, afghan hound, greyhound"
afghan hound,inherited blood disorders,von willebrand's disease,none,large,hound,hound,"afghan hound, tazi, tazhi spay, kochyano spay, sage, balochi, ogar afgan, barakzai hound, eastern, greyhound/persian, greyhound, afghan hound, greyhound"
airedale terrier,none,cerebellar cortical abiotrophy,have an increased incidence,large,terrier,terrier,"airedale terrier, waterside terrier, bingley terrier, airedale, king of terriers, airedale terrier"
airedale terrier,inherited eye disorders,corneal dystrophy,have an increased incidence,large,terrier,terrier,"airedale terrier, waterside terrier, bingley terrier, airedale, king of terriers, airedale terrier"
airedale terrier,inherited musculoskeletal disorders,hip dysplasia,most important,large,terrier,terrier,"airedale terrier, waterside terrier, bingley terrier, airedale, king of terriers, airedale terrier"
airedale terrier,inherited endocrine disorders,hypothyroidism,have an increased incidence,large,terrier,terrier,"airedale terrier, waterside terrier, bingley terrier, airedale, king of terriers, airedale terrier"
airedale terrier,inherited eye disorders,progressive retinal atrophy (rod-cone dysplasia),may be inherited,large,terrier,terrier,"airedale terrier, waterside terrier, bingley terrier, airedale, king of terriers, airedale terrier"
airedale terrier,inherited cardiovascular disorders,pulmonic stenosis,have an increased incidence,large,terrier,terrier,"airedale terrier, waterside terrier, bingley terrier, airedale, king of terriers, airedale terrier"
airedale terrier,inherited eye disorders,retinal dysplasia,may be inherited,large,terrier,terrier,"airedale terrier, waterside terrier, bingley terrier, airedale, king of terriers, airedale terrier"
airedale terrier,inherited blood disorders,von willebrand's disease,have an increased incidence,large,terrier,terrier,"airedale terrier, waterside terrier, bingley terrier, airedale, king of terriers, airedale terrier"
airedale terrier,inherited skin disorders,acral lick dermatitis,none,large,terrier,terrier,"airedale terrier, waterside terrier, bingley terrier, airedale, king of terriers, airedale terrier"
airedale terrier,none,acute moist dermatitis,none,large,terrier,terrier,"airedale terrier, waterside terrier, bingley terrier, airedale, king of terriers, airedale terrier"
airedale terrier,inherited nervous system disorders,cerebellar hypoplasia,none,large,terrier,terrier,"airedale terrier, waterside terrier, bingley terrier, airedale, king of terriers, airedale terrier"
airedale terrier,none,distichiasis,none,large,terrier,terrier,"airedale terrier, waterside terrier, bingley terrier, airedale, king of terriers, airedale terrier"
airedale terrier,inherited eye disorders,entropion,none,large,terrier,terrier,"airedale terrier, waterside terrier, bingley terrier, airedale, king of terriers, airedale terrier"
airedale terrier,inherited skin disorders,granulomatous sebaceous adenitis,none,large,terrier,terrier,"airedale terrier, waterside terrier, bingley terrier, airedale, king of terriers, airedale terrier"
airedale terrier,inherited blood disorders,hemophilia b,none,large,terrier,terrier,"airedale terrier, waterside terrier, bingley terrier, airedale, king of terriers, airedale terrier"
airedale terrier,none,hyposomatotropism,none,large,terrier,terrier,"airedale terrier, waterside terrier, bingley terrier, airedale, king of terriers, airedale terrier"
airedale terrier,none,immunoglobulin a deficiency,none,large,terrier,terrier,"airedale terrier, waterside terrier, bingley terrier, airedale, king of terriers, airedale terrier"
airedale terrier,none,narcolepsy,none,large,terrier,terrier,"airedale terrier, waterside terrier, bingley terrier, airedale, king of terriers, airedale terrier"
airedale terrier,inherited eye disorders,pannus,none,large,terrier,terrier,"airedale terrier, waterside terrier, bingley terrier, airedale, king of terriers, airedale terrier"
airedale terrier,none,retinal detachment,none,large,terrier,terrier,"airedale terrier, waterside terrier, bingley terrier, airedale, king of terriers, airedale terrier"
airedale terrier,inherited skin disorders,sebaceous adenitis,none,large,terrier,terrier,"airedale terrier, waterside terrier, bingley terrier, airedale, king of terriers, airedale terrier"
airedale terrier,none,trembling of the hindquarters,none,large,terrier,terrier,"airedale terrier, waterside terrier, bingley terrier, airedale, king of terriers, airedale terrier"
airedale terrier,none,umbilical hernia,none,large,terrier,terrier,"airedale terrier, waterside terrier, bingley terrier, airedale, king of terriers, airedale terrier"
akita,inherited eye disorders,cataract,have an increased incidence,large,utility,working,"akita, akita inu, akita ken, japanese akita, american akita, great japanese dog, akita"
akita,inherited eye disorders,glaucoma,may be inherited,large,utility,working,"akita, akita inu, akita ken, japanese akita, american akita, great japanese dog, akita"
akita,inherited musculoskeletal disorders,hip dysplasia,most important,large,utility,working,"akita, akita inu, akita ken, japanese akita, american akita, great japanese dog, akita"
akita,inherited eye disorders,microphthalmia,have an increased incidence,large,utility,working,"akita, akita inu, akita ken, japanese akita, american akita, great japanese dog, akita"
akita,inherited skin disorders,pemphigus foliaceous,have an increased incidence,large,utility,working,"akita, akita inu, akita ken, japanese akita, american akita, great japanese dog, akita"
akita,inherited eye disorders,progressive retinal atrophy (rod-cone dysplasia),have an increased incidence,large,utility,working,"akita, akita inu, akita ken, japanese akita, american akita, great japanese dog, akita"
akita,inherited eye disorders,retinal dysplasia,have an increased incidence,large,utility,working,"akita, akita inu, akita ken, japanese akita, american akita, great japanese dog, akita"
akita,inherited skin disorders,sebaceous adenitis,have an increased incidence,large,utility,working,"akita, akita inu, akita ken, japanese akita, american akita, great japanese dog, akita"
akita,none,acute moist dermatitis,none,large,utility,working,"akita, akita inu, akita ken, japanese akita, american akita, great japanese dog, akita"
akita,none,behavioral abnormalities,none,large,utility,working,"akita, akita inu, akita ken, japanese akita, american akita, great japanese dog, akita"
akita,none,cataract with microphthalmia,none,large,utility,working,"akita, akita inu, akita ken, japanese akita, american akita, great japanese dog, akita"
akita,inherited eye disorders,corneal dystrophy,none,large,utility,working,"akita, akita inu, akita ken, japanese akita, american akita, great japanese dog, akita"
akita,none,cushing's disease (hyperadrenocorticism),none,large,utility,working,"akita, akita inu, akita ken, japanese akita, american akita, great japanese dog, akita"
akita,inherited eye disorders,entropion,none,large,utility,working,"akita, akita inu, akita ken, japanese akita, american akita, great japanese dog, akita"
akita,none,eversion of nictitating membrane,none,large,utility,working,"akita, akita inu, akita ken, japanese akita, american akita, great japanese dog, akita"
akita,none,eye abnormality,none,large,utility,working,"akita, akita inu, akita ken, japanese akita, american akita, great japanese dog, akita"
akita,none,glycogen storage disease,none,large,utility,working,"akita, akita inu, akita ken, japanese akita, american akita, great japanese dog, akita"
akita,inherited skin disorders,granulomatous sebaceous adenitis,none,large,utility,working,"akita, akita inu, akita ken, japanese akita, american akita, great japanese dog, akita"
akita,inherited blood disorders,hemolytic anemia,none,large,utility,working,"akita, akita inu, akita ken, japanese akita, american akita, great japanese dog, akita"
akita,inherited endocrine disorders,hypothyroidism,none,large,utility,working,"akita, akita inu, akita ken, japanese akita, american akita, great japanese dog, akita"
akita,none,intestinal malabsorption,none,large,utility,working,"akita, akita inu, akita ken, japanese akita, american akita, great japanese dog, akita"
akita,none,lymphocytic thyroiditis,none,large,utility,working,"akita, akita inu, akita ken, japanese akita, american akita, great japanese dog, akita"
akita,inherited nervous system disorders,lysosomal storage diseases,none,large,utility,working,"akita, akita inu, akita ken, japanese akita, american akita, great japanese dog, akita"
akita,none,osteochondritis dissecans,none,large,utility,working,"akita, akita inu, akita ken, japanese akita, american akita, great japanese dog, akita"
akita,none,osteochondrosis,none,large,utility,working,"akita, akita inu, akita ken, japanese akita, american akita, great japanese dog, akita"
akita,none,thyroiditis,none,large,utility,working,"akita, akita inu, akita ken, japanese akita, american akita, great japanese dog, akita"
akita,none,umbilical hernia,none,large,utility,working,"akita, akita inu, akita ken, japanese akita, american akita, great japanese dog, akita"
akita,none,vogt-koyanagi-harada-like syndrome,none,large,utility,working,"akita, akita inu, akita ken, japanese akita, american akita, great japanese dog, akita"
akita,inherited blood disorders,von willebrand's disease,none,large,utility,working,"akita, akita inu, akita ken, japanese akita, american akita, great japanese dog, akita"
alaskan malamute,inherited eye disorders,cataract,have an increased incidence,large,working,working,"alaskan malamute, mal or mally, alaskan malamute"
alaskan malamute,inherited eye disorders,corneal dystrophy,may be inherited,large,working,working,"alaskan malamute, mal or mally, alaskan malamute"
alaskan malamute,inherited endocrine disorders,diabetes mellitus,have an increased incidence,large,working,working,"alaskan malamute, mal or mally, alaskan malamute"
alaskan malamute,inherited eye disorders,glaucoma,have an increased incidence,large,working,working,"alaskan malamute, mal or mally, alaskan malamute"
alaskan malamute,inherited musculoskeletal disorders,hip dysplasia,most important,large,working,working,"alaskan malamute, mal or mally, alaskan malamute"
alaskan malamute,inherited endocrine disorders,hypothyroidism,may be inherited,large,working,working,"alaskan malamute, mal or mally, alaskan malamute"
alaskan malamute,inherited eye disorders,progressive retinal atrophy (rod-cone dysplasia),may be inherited,large,working,working,"alaskan malamute, mal or mally, alaskan malamute"
alaskan malamute,inherited skin disorders,zinc-responsive dermatosis,have an increased incidence,large,working,working,"alaskan malamute, mal or mally, alaskan malamute"
alaskan malamute,inherited musculoskeletal disorders,osteochondrodysplasia - skeletal dwarfism,most important,large,working,working,"alaskan malamute, mal or mally, alaskan malamute"
alaskan malamute,inherited nervous system disorders,peripheral neuropathies,may be inherited,large,working,working,"alaskan malamute, mal or mally, alaskan malamute"
alaskan malamute,none,anemia with chondrodysplasia,none,large,working,working,"alaskan malamute, mal or mally, alaskan malamute"
alaskan malamute,none,coloboma,none,large,working,working,"alaskan malamute, mal or mally, alaskan malamute"
alaskan malamute,none,"corneal ulcer, superficial",none,large,working,working,"alaskan malamute, mal or mally, alaskan malamute"
alaskan malamute,inherited endocrine disorders,dwarfism,none,large,working,working,"alaskan malamute, mal or mally, alaskan malamute"
alaskan malamute,none,factor vii deficiency,none,large,working,working,"alaskan malamute, mal or mally, alaskan malamute"
alaskan malamute,none,hemeralopia,none,large,working,working,"alaskan malamute, mal or mally, alaskan malamute"
alaskan malamute,inherited blood disorders,hemophilia a,none,large,working,working,"alaskan malamute, mal or mally, alaskan malamute"
alaskan malamute,inherited blood disorders,hemophilia b,none,large,working,working,"alaskan malamute, mal or mally, alaskan malamute"
alaskan malamute,none,intersex,none,large,working,working,"alaskan malamute, mal or mally, alaskan malamute"
alaskan malamute,none,narcolepsy,none,large,working,working,"alaskan malamute, mal or mally, alaskan malamute"
alaskan malamute,none,osteochondritis dissecans,none,large,working,working,"alaskan malamute, mal or mally, alaskan malamute"
alaskan malamute,none,osteochondrosis,none,large,working,working,"alaskan malamute, mal or mally, alaskan malamute"
alaskan malamute,none,renal cortical hypoplasia,none,large,working,working,"alaskan malamute, mal or mally, alaskan malamute"
alaskan malamute,inherited blood disorders,von willebrand's disease,none,large,working,working,"alaskan malamute, mal or mally, alaskan malamute"
anatolian shepherd dog,none,none,none,large,pastoral,working,"anatolian shepherd dog, karabas(blackhead), anatolian blackhead (anadolulu karabas), kangal"
australian cattle dog,inherited eye disorders,cataract,have an increased incidence,medium,pastoral,pastoral,"australian cattle dog, acd, cattle dog, blue heeler, red heeler, queensland heeler, australian cattle dog"
australian cattle dog,inherited nervous system disorders,deafness,have an increased incidence,medium,pastoral,pastoral,"australian cattle dog, acd, cattle dog, blue heeler, red heeler, queensland heeler, australian cattle dog"
australian cattle dog,inherited skin disorders,dermatomyositis,have an increased incidence,medium,pastoral,pastoral,"australian cattle dog, acd, cattle dog, blue heeler, red heeler, queensland heeler, australian cattle dog"
australian cattle dog,inherited musculoskeletal disorders,hip dysplasia,most important,medium,pastoral,pastoral,"australian cattle dog, acd, cattle dog, blue heeler, red heeler, queensland heeler, australian cattle dog"
australian cattle dog,inherited eye disorders,progressive retinal atrophy (rod-cone dysplasia),have an increased incidence,medium,pastoral,pastoral,"australian cattle dog, acd, cattle dog, blue heeler, red heeler, queensland heeler, australian cattle dog"
australian cattle dog,inherited eye disorders,retinal dysplasia,may be inherited,medium,pastoral,pastoral,"australian cattle dog, acd, cattle dog, blue heeler, red heeler, queensland heeler, australian cattle dog"
australian cattle dog,inherited gastrointestinal disorders,portosystemic shunt,have an increased incidence,medium,pastoral,pastoral,"australian cattle dog, acd, cattle dog, blue heeler, red heeler, queensland heeler, australian cattle dog"
australian cattle dog,inherited nervous system disorders,epilepsy,none,medium,pastoral,pastoral,"australian cattle dog, acd, cattle dog, blue heeler, red heeler, queensland heeler, australian cattle dog"
australian cattle dog,none,familial amaurotic idiocy,none,medium,pastoral,pastoral,"australian cattle dog, acd, cattle dog, blue heeler, red heeler, queensland heeler, australian cattle dog"
australian cattle dog,inherited blood disorders,hemophilia a,none,medium,pastoral,pastoral,"australian cattle dog, acd, cattle dog, blue heeler, red heeler, queensland heeler, australian cattle dog"
australian cattle dog,inherited gastrointestinal disorders,hepatic portosystemic shunt,none,medium,pastoral,pastoral,"australian cattle dog, acd, cattle dog, blue heeler, red heeler, queensland heeler, australian cattle dog"
australian cattle dog,inherited endocrine disorders,hypothyroidism,none,medium,pastoral,pastoral,"australian cattle dog, acd, cattle dog, blue heeler, red heeler, queensland heeler, australian cattle dog"
australian cattle dog,none,inguinal hernia,none,medium,pastoral,pastoral,"australian cattle dog, acd, cattle dog, blue heeler, red heeler, queensland heeler, australian cattle dog"
australian cattle dog,none,juvenile amaurotic idiocy,none,medium,pastoral,pastoral,"australian cattle dog, acd, cattle dog, blue heeler, red heeler, queensland heeler, australian cattle dog"
australian cattle dog,inherited eye disorders,lens luxation,none,medium,pastoral,pastoral,"australian cattle dog, acd, cattle dog, blue heeler, red heeler, queensland heeler, australian cattle dog"
australian cattle dog,inherited nervous system disorders,lysosomal storage diseases,none,medium,pastoral,pastoral,"australian cattle dog, acd, cattle dog, blue heeler, red heeler, queensland heeler, australian cattle dog"
australian cattle dog,none,missing teeth,none,medium,pastoral,pastoral,"australian cattle dog, acd, cattle dog, blue heeler, red heeler, queensland heeler, australian cattle dog"
australian cattle dog,none,neuronal ceroid lipofuscinosis,none,medium,pastoral,pastoral,"australian cattle dog, acd, cattle dog, blue heeler, red heeler, queensland heeler, australian cattle dog"
australian cattle dog,none,osteochondritis dissecans,none,medium,pastoral,pastoral,"australian cattle dog, acd, cattle dog, blue heeler, red heeler, queensland heeler, australian cattle dog"
australian cattle dog,none,overshot jaw,none,medium,pastoral,pastoral,"australian cattle dog, acd, cattle dog, blue heeler, red heeler, queensland heeler, australian cattle dog"
australian cattle dog,inherited eye disorders,persistent pupillary membrane,none,medium,pastoral,pastoral,"australian cattle dog, acd, cattle dog, blue heeler, red heeler, queensland heeler, australian cattle dog"
australian cattle dog,none,umbilical hernia,none,medium,pastoral,pastoral,"australian cattle dog, acd, cattle dog, blue heeler, red heeler, queensland heeler, australian cattle dog"
australian cattle dog,none,undershot jaw,none,medium,pastoral,pastoral,"australian cattle dog, acd, cattle dog, blue heeler, red heeler, queensland heeler, australian cattle dog"
australian shepherd,inherited eye disorders,cataract,have an increased incidence,medium,pastoral,pastoral,"australian shepherd, aussie or little blue dog, australian shepherd"
australian shepherd,inherited eye disorders,collie eye anomaly,may be inherited,medium,pastoral,pastoral,"australian shepherd, aussie or little blue dog, australian shepherd"
australian shepherd,inherited nervous system disorders,deafness,most important,medium,pastoral,pastoral,"australian shepherd, aussie or little blue dog, australian shepherd"
australian shepherd,inherited musculoskeletal disorders,hip dysplasia,most important,medium,pastoral,pastoral,"australian shepherd, aussie or little blue dog, australian shepherd"
australian shepherd,inherited eye disorders,microphthalmia,have an increased incidence,medium,pastoral,pastoral,"australian shepherd, aussie or little blue dog, australian shepherd"
australian shepherd,inherited eye disorders,pannus,may be inherited,medium,pastoral,pastoral,"australian shepherd, aussie or little blue dog, australian shepherd"
australian shepherd,inherited eye disorders,persistent pupillary membrane,may be inherited,medium,pastoral,pastoral,"australian shepherd, aussie or little blue dog, australian shepherd"
australian shepherd,inherited eye disorders,progressive retinal atrophy (rod-cone dysplasia),have an increased incidence,medium,pastoral,pastoral,"australian shepherd, aussie or little blue dog, australian shepherd"
australian shepherd,inherited eye disorders,retinal dysplasia,have an increased incidence,medium,pastoral,pastoral,"australian shepherd, aussie or little blue dog, australian shepherd"
australian shepherd,none,multiple colobomas,none,medium,pastoral,pastoral,"australian shepherd, aussie or little blue dog, australian shepherd"
australian terrier,inherited eye disorders,progressive retinal atrophy (rod-cone dysplasia),may be inherited,small,terrier,terrier,"australian terrier, aussie, australian terrier"
australian terrier,inherited eye disorders,retinal dysplasia,may be inherited,small,terrier,terrier,"australian terrier, aussie, australian terrier"
australian terrier,inherited eye disorders,cataract,none,small,terrier,terrier,"australian terrier, aussie, australian terrier"
australian terrier,inherited gastrointestinal disorders,cleft palate,none,small,terrier,terrier,"australian terrier, aussie, australian terrier"
australian terrier,inherited eye disorders,collie eye anomaly,none,small,terrier,terrier,"australian terrier, aussie, australian terrier"
australian terrier,inherited nervous system disorders,deafness,none,small,terrier,terrier,"australian terrier, aussie, australian terrier"
australian terrier,inherited endocrine disorders,dwarfism,none,small,terrier,terrier,"australian terrier, aussie, australian terrier"
australian terrier,inherited musculoskeletal disorders,hip dysplasia,none,small,terrier,terrier,"australian terrier, aussie, australian terrier"
australian terrier,inherited endocrine disorders,hypothyroidism,none,small,terrier,terrier,"australian terrier, aussie, australian terrier"
australian terrier,inherited eye disorders,microphthalmia,none,small,terrier,terrier,"australian terrier, aussie, australian terrier"
australian terrier,none,multiple colobomas,none,small,terrier,terrier,"australian terrier, aussie, australian terrier"
australian terrier,none,osteochondritis dissecans,none,small,terrier,terrier,"australian terrier, aussie, australian terrier"
australian terrier,none,osteochondrosis,none,small,terrier,terrier,"australian terrier, aussie, australian terrier"
australian terrier,inherited eye disorders,persistent pupillary membrane,none,small,terrier,terrier,"australian terrier, aussie, australian terrier"
australian terrier,none,retinal detachment,none,small,terrier,terrier,"australian terrier, aussie, australian terrier"
australian terrier,inherited nervous system disorders,spina bifida,none,small,terrier,terrier,"australian terrier, aussie, australian terrier"
australian terrier,none,umbilical hernia,none,small,terrier,terrier,"australian terrier, aussie, australian terrier"
australian terrier,inherited skin disorders,vitiligo,none,small,terrier,terrier,"australian terrier, aussie, australian terrier"
australian terrier,none,vogt-koyanagi-harada-like syndrome,none,small,terrier,terrier,"australian terrier, aussie, australian terrier"
australian terrier,inherited blood disorders,von willebrand's disease,none,small,terrier,terrier,"australian terrier, aussie, australian terrier"
azawakh,inherited endocrine disorders,diabetes mellitus,none,large,hound,hound,"azawakh, idi, hanshee, oska, rawondu, bareeru, wulo, (formerly) tuareg sloughi"
azawakh,none,legg-perthes disease,none,large,hound,hound,"azawakh, idi, hanshee, oska, rawondu, bareeru, wulo, (formerly) tuareg sloughi"
azawakh,inherited eye disorders,progressive retinal atrophy (rod-cone dysplasia),none,large,hound,hound,"azawakh, idi, hanshee, oska, rawondu, bareeru, wulo, (formerly) tuareg sloughi"
azawakh,inherited eye disorders,retinal dysplasia,none,large,hound,hound,"azawakh, idi, hanshee, oska, rawondu, bareeru, wulo, (formerly) tuareg sloughi"
basset hound,none,cervical vertebral malformation or instability,have an increased incidence,medium-large,hound,hound,"basset hound, basset, hush puppy, basset hound"
basset hound,inherited musculoskeletal disorders,elbow dysplasia,have an increased incidence,medium-large,hound,hound,"basset hound, basset, hush puppy, basset hound"
basset hound,none,eversion of nictitating membrane,have an increased incidence,medium-large,hound,hound,"basset hound, basset, hush puppy, basset hound"
basset hound,inherited eye disorders,glaucoma,have an increased incidence,medium-large,hound,hound,"basset hound, basset, hush puppy, basset hound"
basset hound,none,intervertebral disc disease,have an increased incidence,medium-large,hound,hound,"basset hound, basset, hush puppy, basset hound"
basset hound,inherited musculoskeletal disorders,panosteitis,have an increased incidence,medium-large,hound,hound,"basset hound, basset, hush puppy, basset hound"
basset hound,none,patella luxation,have an increased incidence,medium-large,hound,hound,"basset hound, basset, hush puppy, basset hound"
basset hound,none,platelet disorder,most important,medium-large,hound,hound,"basset hound, basset, hush puppy, basset hound"
basset hound,inherited skin disorders,seborrhea,most important,medium-large,hound,hound,"basset hound, basset, hush puppy, basset hound"
basset hound,inherited skin disorders,follicular dysplasias,have an increased incidence,medium-large,hound,hound,"basset hound, basset, hush puppy, basset hound"
basset hound,inherited immune disorders,severe combined immunodeficiency (scid),have an increased incidence,medium-large,hound,hound,"basset hound, basset, hush puppy, basset hound"
bearded collie,inherited eye disorders,cataract,have an increased incidence,medium,pastoral,pastoral,"bearded collie, ""highland collie, mountain collie, hairy moued collie"", beardie, collie (rough and smooth), bearded collie"
bearded collie,inherited eye disorders,corneal dystrophy,have an increased incidence,medium,pastoral,pastoral,"bearded collie, ""highland collie, mountain collie, hairy moued collie"", beardie, collie (rough and smooth), bearded collie"
bearded collie,inherited musculoskeletal disorders,hip dysplasia,have an increased incidence,medium,pastoral,pastoral,"bearded collie, ""highland collie, mountain collie, hairy moued collie"", beardie, collie (rough and smooth), bearded collie"
bearded collie,inherited skin disorders,pemphigus foliaceous,have an increased incidence,medium,pastoral,pastoral,"bearded collie, ""highland collie, mountain collie, hairy moued collie"", beardie, collie (rough and smooth), bearded collie"
bearded collie,inherited eye disorders,progressive retinal atrophy (rod-cone dysplasia),may be inherited,medium,pastoral,pastoral,"bearded collie, ""highland collie, mountain collie, hairy moued collie"", beardie, collie (rough and smooth), bearded collie"
bearded collie,inherited skin disorders,follicular dysplasias,may be inherited,medium,pastoral,pastoral,"bearded collie, ""highland collie, mountain collie, hairy moued collie"", beardie, collie (rough and smooth), bearded collie"
bearded collie,none,allergies,none,medium,pastoral,pastoral,"bearded collie, ""highland collie, mountain collie, hairy moued collie"", beardie, collie (rough and smooth), bearded collie"
bearded collie,none,amyloidosis,none,medium,pastoral,pastoral,"bearded collie, ""highland collie, mountain collie, hairy moued collie"", beardie, collie (rough and smooth), bearded collie"
bearded collie,none,atopic dermatitis,none,medium,pastoral,pastoral,"bearded collie, ""highland collie, mountain collie, hairy moued collie"", beardie, collie (rough and smooth), bearded collie"
bearded collie,none,bundle branch block,none,medium,pastoral,pastoral,"bearded collie, ""highland collie, mountain collie, hairy moued collie"", beardie, collie (rough and smooth), bearded collie"
bearded collie,none,bladder cancer,none,medium,pastoral,pastoral,"bearded collie, ""highland collie, mountain collie, hairy moued collie"", beardie, collie (rough and smooth), bearded collie"
bearded collie,none,cataract with microphthalmia,none,medium,pastoral,pastoral,"bearded collie, ""highland collie, mountain collie, hairy moued collie"", beardie, collie (rough and smooth), bearded collie"
bearded collie,inherited gastrointestinal disorders,cleft lip,none,medium,pastoral,pastoral,"bearded collie, ""highland collie, mountain collie, hairy moued collie"", beardie, collie (rough and smooth), bearded collie"
bearded collie,inherited gastrointestinal disorders,cleft palate,none,medium,pastoral,pastoral,"bearded collie, ""highland collie, mountain collie, hairy moued collie"", beardie, collie (rough and smooth), bearded collie"
bearded collie,inherited skin disorders,cutaneous asthenia,none,medium,pastoral,pastoral,"bearded collie, ""highland collie, mountain collie, hairy moued collie"", beardie, collie (rough and smooth), bearded collie"
bearded collie,inherited skin disorders,demodicosis,none,medium,pastoral,pastoral,"bearded collie, ""highland collie, mountain collie, hairy moued collie"", beardie, collie (rough and smooth), bearded collie"
bearded collie,none,distichiasis,none,medium,pastoral,pastoral,"bearded collie, ""highland collie, mountain collie, hairy moued collie"", beardie, collie (rough and smooth), bearded collie"
bearded collie,none,ehlers danlos syndrome,none,medium,pastoral,pastoral,"bearded collie, ""highland collie, mountain collie, hairy moued collie"", beardie, collie (rough and smooth), bearded collie"
bearded collie,inherited nervous system disorders,epilepsy,none,medium,pastoral,pastoral,"bearded collie, ""highland collie, mountain collie, hairy moued collie"", beardie, collie (rough and smooth), bearded collie"
bearded collie,none,eversion of nictitating membrane,none,medium,pastoral,pastoral,"bearded collie, ""highland collie, mountain collie, hairy moued collie"", beardie, collie (rough and smooth), bearded collie"
